Animal,Sire,Dam
10786,79,34
10787,79,34
10788,79,34
10789,79,34
10790,79,34
10791,79,34
10792,79,34
10793,79,34
10794,79,34
10795,79,34
10796,79,34
10797,79,34
10798,79,34
10799,79,34
10800,79,34
10801,81,72
10802,81,72
10803,81,72
10804,81,72
10805,81,72
10806,81,72
10807,81,72
10808,81,72
10809,81,72
10810,81,72
10811,81,72
10812,81,72
10813,81,72
10814,81,72
10815,81,72
10816,81,72
10817,81,72
10818,81,72
10819,81,72
10820,81,72
10821,83,40
10822,83,40
10823,83,40
10824,83,40
10825,83,40
10826,83,40
10827,83,40
10828,83,40
10829,83,40
10830,83,40
10831,83,40
10832,83,40
10833,83,40
10834,83,40
10835,83,40
10836,83,40
10837,83,40
10838,83,40
10839,83,40
10840,83,40
10841,85,78
10842,85,78
10843,85,78
10844,85,78
10845,85,78
10846,85,78
10847,85,78
10848,85,78
10849,85,78
10850,85,78
10851,85,78
10852,85,78
10853,85,78
10854,85,78
10855,85,78
10856,85,78
10857,85,78
10858,85,78
10859,85,78
10860,85,78
10861,87,96
10862,87,96
10863,87,96
10864,87,96
10865,87,96
10866,87,96
10867,87,96
10868,87,96
10869,87,96
10870,87,96
10871,87,96
10872,87,96
10873,87,96
10874,87,96
10875,87,96
10876,87,96
10877,87,96
10878,87,96
10879,87,96
10880,87,96
10881,89,4
10882,89,4
10883,89,4
10884,89,4
10885,89,4
10886,89,4
10887,89,4
10888,89,4
10889,89,4
10890,89,4
10891,89,4
10892,89,4
10893,89,4
10894,89,4
10895,89,4
10896,89,4
10897,89,4
10898,89,4
10899,89,4
10900,89,4
10901,91,54
10902,91,54
10903,91,54
10904,91,54
10905,91,54
10906,91,54
10907,91,54
10908,91,54
10909,91,54
10910,91,54
10911,91,54
10912,91,54
10913,91,54
10914,91,54
10915,91,54
10916,91,54
10917,91,54
10918,91,54
10919,91,54
10920,91,54
10921,93,60
10922,93,60
10923,93,60
10924,93,60
10925,93,60
10926,93,60
10927,93,60
10928,93,60
10929,93,60
10930,93,60
10931,93,60
10932,93,60
10933,93,60
10934,93,60
10935,93,60
10936,93,60
10937,93,60
10938,93,60
10939,93,60
10940,93,60
10941,95,10
10942,95,10
10943,95,10
10944,95,10
10945,95,10
10946,95,10
10947,95,10
10948,95,10
10949,95,10
10950,95,10
10951,95,10
10952,95,10
10953,95,10
10954,95,10
10955,95,10
10956,95,10
10957,95,10
10958,95,10
10959,95,10
10960,95,10
10961,97,28
10962,97,28
10963,97,28
10964,97,28
10965,97,28
10966,97,28
10967,97,28
10968,97,28
10969,97,28
10970,97,28
10971,97,28
10972,97,28
10973,97,28
10974,97,28
10975,97,28
10976,97,28
10977,97,28
10978,97,28
10979,97,28
10980,97,28
10981,99,56
10982,99,56
10983,99,56
10984,99,56
10985,99,56
10986,99,56
10987,99,56
10988,99,56
10989,99,56
10990,99,56
10991,99,56
10992,99,56
10993,99,56
10994,99,56
10995,99,56
10996,99,56
10997,99,56
10998,99,56
10999,99,56
11000,99,56
20001,10001,10538
20002,10001,10538
20003,10003,10014
20004,10003,10014
20005,10005,10322
20006,10005,10322
20007,10007,10496
20008,10007,10496
20009,10009,10398
20010,10009,10398
20011,10011,10992
20012,10011,10992
20013,10013,10728
20014,10013,10728
20015,10015,10414
20016,10015,10414
20017,10017,10814
20018,10017,10814
20019,10019,10990
20020,10019,10990
20021,10021,10020
20022,10021,10020
20023,10023,10120
20024,10023,10120
20025,10025,10128
20026,10025,10128
20027,10027,10330
20028,10027,10330
20029,10029,10174
20030,10029,10174
20031,10031,10482
20032,10031,10482
20033,10033,10944
20034,10033,10944
20035,10035,10836
20036,10035,10836
20037,10037,10612
20038,10037,10612
20039,10039,10258
20040,10039,10258
20041,10041,10254
20042,10041,10254
20043,10043,10074
20044,10043,10074
20045,10045,10246
20046,10045,10246
20047,10047,10178
20048,10047,10178
20049,10049,10052
20050,10049,10052
20051,10051,10464
20052,10051,10464
20053,10053,10752
20054,10053,10752
20055,10055,10876
20056,10055,10876
20057,10057,10452
20058,10057,10452
20059,10059,10688
20060,10059,10688
20061,10061,10230
20062,10061,10230
20063,10063,10222
20064,10063,10222
20065,10065,10870
20066,10065,10870
20067,10067,10282
20068,10067,10282
20069,10069,10278
20070,10069,10278
20071,10071,10420
20072,10071,10420
20073,10073,10600
20074,10073,10600
20075,10075,10636
20076,10075,10636
20077,10077,10166
20078,10077,10166
20079,10079,10978
20080,10079,10978
20081,10081,10426
20082,10081,10426
20083,10083,10318
20084,10083,10318
20085,10085,10288
20086,10085,10288
20087,10087,10834
20088,10087,10834
20089,10089,10286
20090,10089,10286
20091,10091,10214
20092,10091,10214
20093,10093,10344
20094,10093,10344
20095,10095,10918
20096,10095,10918
20097,10097,10524
20098,10097,10524
20099,10099,10272
20100,10099,10272
20101,10101,10756
20102,10101,10756
20103,10103,10004
20104,10103,10004
20105,10105,10874
20106,10105,10874
20107,10107,10368
20108,10107,10368
20109,10109,10492
20110,10109,10492
20111,10111,10616
20112,10111,10616
20113,10113,10150
20114,10113,10150
20115,10115,10658
20116,10115,10658
20117,10117,10068
20118,10117,10068
20119,10119,10900
20120,10119,10900
20121,10121,10684
20122,10121,10684
20123,10123,10574
20124,10123,10574
20125,10125,10080
20126,10125,10080
20127,10127,10560
20128,10127,10560
20129,10129,10720
20130,10129,10720
20131,10131,10638
20132,10131,10638
20133,10133,10708
20134,10133,10708
20135,10135,10118
20136,10135,10118
20137,10137,10928
20138,10137,10928
20139,10139,10442
20140,10139,10442
20141,10141,10878
20142,10141,10878
20143,10143,10484
20144,10143,10484
20145,10145,10306
20146,10145,10306
20147,10147,10528
20148,10147,10528
20149,10149,10190
20150,10149,10190
20151,10151,10324
20152,10151,10324
20153,10153,10912
20154,10153,10912
20155,10155,10046
20156,10155,10046
20157,10157,10532
20158,10157,10532
20159,10159,10252
20160,10159,10252
20161,10161,10872
20162,10161,10872
20163,10163,10216
20164,10163,10216
20165,10165,10104
20166,10165,10104
20167,10167,10942
20168,10167,10942
20169,10169,10866
20170,10169,10866
20171,10171,10454
20172,10171,10454
20173,10173,10882
20174,10173,10882
20175,10175,10198
20176,10175,10198
20177,10177,10044
20178,10177,10044
20179,10179,10544
20180,10179,10544
20181,10181,10932
20182,10181,10932
20183,10183,10170
20184,10183,10170
20185,10185,10802
20186,10185,10802
20187,10187,10930
20188,10187,10930
20189,10189,10234
20190,10189,10234
20191,10191,10320
20192,10191,10320
20193,10193,10854
20194,10193,10854
20195,10195,10818
20196,10195,10818
20197,10197,10010
20198,10197,10010
20199,10199,10158
20200,10199,10158
20201,10201,10838
20202,10201,10838
20203,10203,10056
20204,10203,10056
20205,10205,10772
20206,10205,10772
20207,10207,10536
20208,10207,10536
20209,10209,10558
20210,10209,10558
20211,10211,10506
20212,10211,10506
20213,10213,10388
20214,10213,10388
20215,10215,10704
20216,10215,10704
20217,10217,10284
20218,10217,10284
20219,10219,10862
20220,10219,10862
20221,10221,10936
20222,10221,10936
20223,10223,10032
20224,10223,10032
20225,10225,10572
20226,10225,10572
20227,10227,10106
20228,10227,10106
20229,10229,10244
20230,10229,10244
20231,10231,10750
20232,10231,10750
20233,10233,10300
20234,10233,10300
20235,10235,10540
20236,10235,10540
20237,10237,10516
20238,10237,10516
20239,10239,10520
20240,10239,10520
20241,10241,10226
20242,10241,10226
20243,10243,10754
20244,10243,10754
20245,10245,10048
20246,10245,10048
20247,10247,10504
20248,10247,10504
20249,10249,10228
20250,10249,10228
20251,10251,10966
20252,10251,10966
20253,10253,10262
20254,10253,10262
20255,10255,10458
20256,10255,10458
20257,10257,10868
20258,10257,10868
20259,10259,10034
20260,10259,10034
20261,10261,10576
20262,10261,10576
20263,10263,10898
20264,10263,10898
20265,10265,10662
20266,10265,10662
20267,10267,10250
20268,10267,10250
20269,10269,10812
20270,10269,10812
20271,10271,10060
20272,10271,10060
20273,10273,10746
20274,10273,10746
20275,10275,10556
20276,10275,10556
20277,10277,10522
20278,10277,10522
20279,10279,10406
20280,10279,10406
20281,10281,10922
20282,10281,10922
20283,10283,10428
20284,10283,10428
20285,10285,10358
20286,10285,10358
20287,10287,10668
20288,10287,10668
20289,10289,10218
20290,10289,10218
20291,10291,10920
20292,10291,10920
20293,10293,10652
20294,10293,10652
20295,10295,10624
20296,10295,10624
20297,10297,10860
20298,10297,10860
20299,10299,10396
20300,10299,10396
20301,10301,10308
20302,10301,10308
20303,10303,10186
20304,10303,10186
20305,10305,10208
20306,10305,10208
20307,10307,10712
20308,10307,10712
20309,10309,10028
20310,10309,10028
20311,10311,10146
20312,10311,10146
20313,10313,10950
20314,10313,10950
20315,10315,10790
20316,10315,10790
20317,10317,10608
20318,10317,10608
20319,10319,10434
20320,10319,10434
20321,10321,10092
20322,10321,10092
20323,10323,10542
20324,10323,10542
20325,10325,10734
20326,10325,10734
20327,10327,10376
20328,10327,10376
20329,10329,10974
20330,10329,10974
20331,10331,10732
20332,10331,10732
20333,10333,10440
20334,10333,10440
20335,10335,10404
20336,10335,10404
20337,10337,10432
20338,10337,10432
20339,10339,10256
20340,10339,10256
20341,10341,10470
20342,10341,10470
20343,10343,10964
20344,10343,10964
20345,10345,10354
20346,10345,10354
20347,10347,10352
20348,10347,10352
20349,10349,10610
20350,10349,10610
20351,10351,10710
20352,10351,10710
20353,10353,10690
20354,10353,10690
20355,10355,10670
20356,10355,10670
20357,10357,10438
20358,10357,10438
20359,10359,10424
20360,10359,10424
20361,10361,10962
20362,10361,10962
20363,10363,10794
20364,10363,10794
20365,10365,10958
20366,10365,10958
20367,10367,10626
20368,10367,10626
20369,10369,10886
20370,10369,10886
20371,10371,10552
20372,10371,10552
20373,10373,10826
20374,10373,10826
20375,10375,10416
20376,10375,10416
20377,10377,10592
20378,10377,10592
20379,10379,10172
20380,10379,10172
20381,10381,10050
20382,10381,10050
20383,10383,10478
20384,10383,10478
20385,10385,10714
20386,10385,10714
20387,10387,10242
20388,10387,10242
20389,10389,10988
20390,10389,10988
20391,10391,10846
20392,10391,10846
20393,10393,10240
20394,10393,10240
20395,10395,10138
20396,10395,10138
20397,10397,10264
20398,10397,10264
20399,10399,10332
20400,10399,10332
20401,10401,10938
20402,10401,10938
20403,10403,10422
20404,10403,10422
20405,10405,10650
20406,10405,10650
20407,10407,10392
20408,10407,10392
20409,10409,10744
20410,10409,10744
20411,10411,10758
20412,10411,10758
20413,10413,10176
20414,10413,10176
20415,10415,10768
20416,10415,10768
20417,10417,10910
20418,10417,10910
20419,10419,10646
20420,10419,10646
20421,10421,10116
20422,10421,10116
20423,10423,10078
20424,10423,10078
20425,10425,10604
20426,10425,10604
20427,10427,10498
20428,10427,10498
20429,10429,10682
20430,10429,10682
20431,10431,10212
20432,10431,10212
20433,10433,10618
20434,10433,10618
20435,10435,10144
20436,10435,10144
20437,10437,10590
20438,10437,10590
20439,10439,10742
20440,10439,10742
20441,10441,10906
20442,10441,10906
20443,10443,10468
20444,10443,10468
20445,10445,10856
20446,10445,10856
20447,10447,10816
20448,10447,10816
20449,10449,10880
20450,10449,10880
20451,10451,10934
20452,10451,10934
20453,10453,10896
20454,10453,10896
20455,10455,10550
20456,10455,10550
20457,10457,10022
20458,10457,10022
20459,10459,10748
20460,10459,10748
20461,10461,10038
20462,10461,10038
20463,10463,10902
20464,10463,10902
20465,10465,10184
20466,10465,10184
20467,10467,10970
20468,10467,10970
20469,10469,10634
20470,10469,10634
20471,10471,10766
20472,10471,10766
20473,10473,10648
20474,10473,10648
20475,10475,10588
20476,10475,10588
20477,10477,10656
20478,10477,10656
20479,10479,10654
20480,10479,10654
20481,10481,10676
20482,10481,10676
20483,10483,10784
20484,10483,10784
20485,10485,10844
20486,10485,10844
20487,10487,10642
20488,10487,10642
20489,10489,10224
20490,10489,10224
20491,10491,10390
20492,10491,10390
20493,10493,10462
20494,10493,10462
20495,10495,10180
20496,10495,10180
20497,10497,10140
20498,10497,10140
20499,10499,10236
20500,10499,10236
20501,10501,10788
20502,10501,10788
20503,10503,10512
20504,10503,10512
20505,10505,10554
20506,10505,10554
20507,10507,10890
20508,10507,10890
20509,10509,10674
20510,10509,10674
20511,10511,11000
20512,10511,11000
20513,10513,10410
20514,10513,10410
20515,10515,10840
20516,10515,10840
20517,10517,10852
20518,10517,10852
20519,10519,10694
20520,10519,10694
20521,10521,10132
20522,10521,10132
20523,10523,10908
20524,10523,10908
20525,10525,10476
20526,10525,10476
20527,10527,10206
20528,10527,10206
20529,10529,10786
20530,10529,10786
20531,10531,10596
20532,10531,10596
20533,10533,10582
20534,10533,10582
20535,10535,10312
20536,10535,10312
20537,10537,10568
20538,10537,10568
20539,10539,10940
20540,10539,10940
20541,10541,10006
20542,10541,10006
20543,10543,10268
20544,10543,10268
20545,10545,10490
20546,10545,10490
20547,10547,10042
20548,10547,10042
20549,10549,10260
20550,10549,10260
20551,10551,10570
20552,10551,10570
20553,10553,10706
20554,10553,10706
20555,10555,10824
20556,10555,10824
20557,10557,10164
20558,10557,10164
20559,10559,10316
20560,10559,10316
20561,10561,10072
20562,10561,10072
20563,10563,10110
20564,10563,10110
20565,10565,10888
20566,10565,10888
20567,10567,10054
20568,10567,10054
20569,10569,10518
20570,10569,10518
20571,10571,10778
20572,10571,10778
20573,10573,10328
20574,10573,10328
20575,10575,10494
20576,10575,10494
20577,10577,10290
20578,10577,10290
20579,10579,10692
20580,10579,10692
20581,10581,10980
20582,10581,10980
20583,10583,10194
20584,10583,10194
20585,10585,10394
20586,10585,10394
20587,10587,10338
20588,10587,10338
20589,10589,10830
20590,10589,10830
20591,10591,10724
20592,10591,10724
20593,10593,10122
20594,10593,10122
20595,10595,10134
20596,10595,10134
20597,10597,10472
20598,10597,10472
20599,10599,10952
20600,10599,10952
20601,10601,10202
20602,10601,10202
20603,10603,10698
20604,10603,10698
20605,10605,10100
20606,10605,10100
20607,10607,10084
20608,10607,10084
20609,10609,10382
20610,10609,10382
20611,10611,10822
20612,10611,10822
20613,10613,10466
20614,10613,10466
20615,10615,10188
20616,10615,10188
20617,10617,10716
20618,10617,10716
20619,10619,10474
20620,10619,10474
20621,10621,10916
20622,10621,10916
20623,10623,10062
20624,10623,10062
20625,10625,10204
20626,10625,10204
20627,10627,10858
20628,10627,10858
20629,10629,10156
20630,10629,10156
20631,10631,10488
20632,10631,10488
20633,10633,10730
20634,10633,10730
20635,10635,10994
20636,10635,10994
20637,10637,10884
20638,10637,10884
20639,10639,10108
20640,10639,10108
20641,10641,10700
20642,10641,10700
20643,10643,10444
20644,10643,10444
20645,10645,10012
20646,10645,10012
20647,10647,10076
20648,10647,10076
20649,10649,10726
20650,10649,10726
20651,10651,10718
20652,10651,10718
20653,10653,10996
20654,10653,10996
20655,10655,10736
20656,10655,10736
20657,10657,10696
20658,10657,10696
20659,10659,10408
20660,10659,10408
20661,10661,10914
20662,10661,10914
20663,10663,10508
20664,10663,10508
20665,10665,10956
20666,10665,10956
20667,10667,10238
20668,10667,10238
20669,10669,10378
20670,10669,10378
20671,10671,10598
20672,10671,10598
20673,10673,10606
20674,10673,10606
20675,10675,10340
20676,10675,10340
20677,10677,10232
20678,10677,10232
20679,10679,10160
20680,10679,10160
20681,10681,10362
20682,10681,10362
20683,10683,10096
20684,10683,10096
20685,10685,10584
20686,10685,10584
20687,10687,10402
20688,10687,10402
20689,10689,10578
20690,10689,10578
20691,10691,10094
20692,10691,10094
20693,10693,10112
20694,10693,10112
20695,10695,10644
20696,10695,10644
20697,10697,10304
20698,10697,10304
20699,10699,10986
20700,10699,10986
20701,10701,10740
20702,10701,10740
20703,10703,10702
20704,10703,10702
20705,10705,10090
20706,10705,10090
20707,10707,10738
20708,10707,10738
20709,10709,10566
20710,10709,10566
20711,10711,10294
20712,10711,10294
20713,10713,10418
20714,10713,10418
20715,10715,10580
20716,10715,10580
20717,10717,10602
20718,10717,10602
20719,10719,10672
20720,10719,10672
20721,10721,10808
20722,10721,10808
20723,10723,10984
20724,10723,10984
20725,10725,10200
20726,10725,10200
20727,10727,10548
20728,10727,10548
20729,10729,10280
20730,10729,10280
20731,10731,10792
20732,10731,10792
20733,10733,10130
20734,10733,10130
20735,10735,10630
20736,10735,10630
20737,10737,10162
20738,10737,10162
20739,10739,10806
20740,10739,10806
20741,10741,10024
20742,10741,10024
20743,10743,10360
20744,10743,10360
20745,10745,10412
20746,10745,10412
20747,10747,10620
20748,10747,10620
20749,10749,10152
20750,10749,10152
20751,10751,10586
20752,10751,10586
20753,10753,10664
20754,10753,10664
20755,10755,10774
20756,10755,10774
20757,10757,10124
20758,10757,10124
20759,10759,10430
20760,10759,10430
20761,10761,10314
20762,10761,10314
20763,10763,10350
20764,10763,10350
20765,10765,10310
20766,10765,10310
20767,10767,10058
20768,10767,10058
20769,10769,10182
20770,10769,10182
20771,10771,10192
20772,10771,10192
20773,10773,10926
